"words","avg_points","total_points","quantity"
"cox",91.481,2470,27
"top-flight",91.476,1921,21
"swan",91.476,1921,21
"balm",91.474,3476,38
"moreish",91.47,16556,181
"successes",91.467,1372,15
"mineral-soaked",91.467,1372,15
"carl",91.467,1372,15
"longevity",91.463,6128,67
"volcano",91.462,1189,13
"rothschild",91.462,1189,13
"enwrap",91.462,1189,13
"bouchard",91.462,1189,13
"damask",91.455,2012,22
"slate-like",91.455,1006,11
"secret",91.455,1006,11
"santar",91.455,1006,11
"library",91.455,1006,11
"caresses",91.455,1006,11
"repay",91.452,2835,31
"gap",91.451,7499,82
"ballard",91.45,1829,20
"antinori",91.45,1829,20
"top-notch",91.448,2652,29
"taps",91.444,823,9
"roberto",91.444,823,9
"pine-forest",91.444,823,9
"pebbles",91.444,823,9
"laser-edged",91.444,823,9
"helen",91.444,823,9
"elena",91.444,823,9
"demonstrate",91.444,823,9
"broods",91.444,823,9
"evolve",91.441,26975,295
"mirabelle",91.441,18471,202
"depths",91.441,3109,34
"weaving",91.44,2286,25
"storm",91.438,1463,16
"py",91.438,1463,16
"celebrates",91.436,3566,39
"compelling",91.434,53306,583
"seamlessly",91.431,20572,225
"proportioned",91.43,7223,79
"doling",91.429,2560,28
"management",91.429,1280,14
"ember",91.429,1280,14
"clouds",91.429,1280,14
"joyous",91.423,2377,26
"consisting",91.421,1737,19
"puncheons",91.417,3291,36
"echoing",91.417,3291,36
"dimensions",91.417,2194,24
"classé",91.417,2194,24
"ferrington",91.417,1097,12
"closest",91.417,1097,12
"whistle-clean",91.412,3108,34
"guaranteed",91.412,1554,17
"massive",91.406,34186,374
"standout",91.405,11974,131
"teasing",91.4,2285,25
"entices",91.4,2285,25
"darenberg",91.4,1828,20
"convinces",91.4,1371,15
"aaron",91.4,1371,15
"valdez",91.4,914,10
"rocking",91.4,914,10
"picture-perfect",91.4,914,10
"painting",91.4,914,10
"customary",91.4,914,10
"confidently",91.4,914,10
"angélus",91.4,914,10
"remarkable",91.394,15994,175
"greg",91.394,3016,33
"bob",91.391,4204,46
"explodes",91.389,13617,149
"fonseca",91.389,1645,18
"williams",91.387,5666,62
"dutton",91.387,2833,31
"crunch",91.385,2376,26
"seriousness",91.385,1188,13
"dooley",91.385,1188,13
"debut",91.378,4112,45
"shimmers",91.375,3655,40
"stags",91.375,2924,32
"pessac-léognan",91.375,1462,16
"freedom",91.375,1462,16
"fourchaume",91.375,1462,16
"high-wire",91.37,2467,27
"realized",91.368,1736,19
"coaxed",91.368,1736,19
"architecture",91.368,1736,19
"deserves",91.364,8040,88
"jeff",91.364,1005,11
"gracefully",91.362,18181,199
"shadows",91.357,2558,28
"sebastopol",91.353,3106,34
"thrive",91.353,1553,17
"babcock",91.35,1827,20
"coriander",91.345,2649,29
"bench",91.345,2649,29
"unfined",91.343,3197,35
"gravitas",91.343,3197,35
"howell",91.341,7764,85
"richest",91.34,4841,53
"seductive",91.339,40737,446
"westside",91.333,4932,54
"prowess",91.333,1644,18
"honors",91.333,1644,18
"now–2024",91.333,1370,15
"two-acre",91.333,1096,12
"midterm",91.333,1096,12
"duty",91.333,1096,12
"doon",91.333,1096,12
"15th",91.333,1096,12
"sattui",91.333,822,9
"lip-licking",91.333,822,9
"kathy",91.333,822,9
"gaffelière",91.333,822,9
"dare",91.333,822,9
"condition",91.333,822,9
"bussia",91.333,822,9
"billowy",91.333,822,9
"oldest",91.332,17079,187
"fantastically",91.327,5023,55
"study",91.326,13151,144
"umami",91.323,12146,133
"anniversary",91.318,4018,44
"sineann",91.318,2009,22
"dan",91.318,2009,22
"tasteful",91.316,1735,19
"low-yielding",91.312,2922,32
"storied",91.312,1461,16
"loudly",91.312,1461,16
"now–2021",91.308,2374,26
"secrets",91.308,1187,13
"sbragia",91.308,1187,13
"quintas",91.308,1187,13
"predominance",91.308,1187,13
"bonny",91.308,1187,13
"ivy",91.304,2100,23
"100-year-old",91.304,2100,23
"refined",91.3,101708,1114
"excellence",91.3,4565,50
"destined",91.3,3652,40
"las",91.3,1826,20
"minuscule",91.3,913,10
"mastered",91.3,913,10
"hayflowers",91.3,913,10
"gevrey",91.3,913,10
"fungus",91.3,913,10
"ddo",91.3,913,10
"caress",91.3,913,10
"savor",91.298,10408,114
"sculpted",91.296,6482,71
"eden",91.294,3104,34
"begun",91.294,3104,34
"tautly",91.294,1552,17
"eola-amity",91.294,1552,17
"followup",91.293,3743,41
"sexy",91.29,9768,107
"sesame",91.286,3834,42
"counterweight",91.286,1278,14
"steep",91.279,6207,68
"taylor",91.278,1643,18
"fronts",91.278,1643,18
"sta",91.275,3651,40
"whopper",91.273,1004,11
"ulises",91.273,1004,11
"travels",91.273,1004,11
"puppy",91.273,1004,11
"mountaintop",91.273,1004,11
"layon",91.273,1004,11
"foggy",91.273,1004,11
"authority",91.268,3742,41
"presently",91.267,1369,15
"inform",91.267,1369,15
"boar",91.267,1369,15
"hyde",91.265,3103,34
"tawnies",91.263,1734,19
"immaculately",91.263,1734,19
"drouhin",91.263,1734,19
"filigreed",91.261,2099,23
"sprays",91.259,2464,27
"vale",91.258,2829,31
"hovers",91.257,6753,74
"rutherford",91.252,9399,103
"opulent",91.25,115705,1268
"testament",91.25,5110,56
"ethereally",91.25,2555,28
"radar",91.25,1460,16
"marquee",91.25,1460,16
"just-right",91.25,1460,16
"jaboulet",91.25,1460,16
"undulating",91.25,1095,12
"miguel",91.25,1095,12
"pedigree",91.248,9946,109
"wonderfully",91.243,52647,577
"fist",91.241,2646,29
"evocation",91.241,2646,29
"shortbread",91.24,2281,25
"fascinating",91.239,22901,251
"stature",91.238,1916,21
"olivier",91.238,1916,21
"celebrate",91.235,3102,34
"unforced",91.235,1551,17
"tended",91.235,1551,17
"speaks",91.231,11039,121
"jack",91.231,1186,13
"energizing",91.23,11130,122
"voluptuousness",91.227,2007,22
"distance",91.226,4835,53
"opulence",91.224,22350,245
"welter",91.222,821,9
"pretzel",91.222,821,9
"nagy",91.222,821,9
"mcneilly",91.222,821,9
"limited-edition",91.222,821,9
"internal",91.222,821,9
"failla",91.222,821,9
"senses",91.221,8666,95
"dionysus",91.219,2919,32
"notions",91.216,31287,343
"powered",91.216,15598,171
"vision",91.214,1277,14
"ultrasmooth",91.211,1733,19
"top-shelf",91.211,1733,19
"chosen",91.211,1733,19
"site",91.21,59469,652
"ethereal",91.209,21434,235
"joseph",91.207,2645,29
"art",91.203,6293,69
"enveloping",91.202,8573,94
"brian",91.2,4104,45
"madre",91.2,1368,15
"unbridled",91.2,912,10
"tranche",91.2,912,10
"sweep",91.2,912,10
"strut",91.2,912,10
"nervously",91.2,912,10
"chaser",91.2,912,10
"2014s",91.2,912,10
"benchmark",91.196,5107,56
"robert",91.194,3283,36
"sites",91.193,26993,296
"foxen",91.192,2371,26
"intoxicating",91.191,4286,47
"francs",91.19,1915,21
"explode",91.189,4833,53
"command",91.188,1459,16
"cascade",91.188,1459,16
"94%",91.188,1459,16
"cofermented",91.185,2462,27
"marcona",91.182,4012,44
"strokes",91.182,2006,22
"morel",91.182,1003,11
"cascina",91.182,1003,11
"broodingly",91.182,1003,11
"opulently",91.179,2553,28
"growth",91.179,2553,28
"flat-out",91.179,2553,28
"selected",91.178,9756,107
"wildly",91.175,5197,57
"tingles",91.175,3647,40
"beckstoffer",91.174,2097,23
"surely",91.173,7385,81
"ideally",91.172,2644,29
"buoys",91.172,2644,29
"satin",91.171,3738,41
"james",91.171,3191,35
"veeder",91.17,4832,53
"satsuma",91.167,1641,18
"nocera",91.167,1094,12
"lengthens",91.167,1094,12
"first-class",91.167,1094,12
"arrives",91.167,1094,12
"luxury",91.163,4467,49
"dewy",91.162,3373,37
"mighty",91.161,5105,56
"vera",91.16,2279,25
"rainbow",91.16,2279,25
"discovery",91.16,2279,25
"aloe",91.16,2279,25
"graceful",91.158,16682,183
"south-facing",91.158,1732,19
"black-colored",91.158,1732,19
"chai",91.156,2917,32
"socks",91.154,1185,13
"rhubarbs",91.154,1185,13
